TRACT,GEOID,TRACTCE,NAME,TRACT_NAME,NAMELSAD,FULL_NAME,Total_Estimate,Total_Margin_of_Error,Below_poverty_level_Estimate,Below_poverty_level_Margin_of_Error,Percent_below_poverty_level_Estimate,Percent_below_poverty_level_Margin_of_Error
2.0,17019000020,000020,Census Tract 2,Census Tract 2,Census Tract 2,"Census Tract 2, Champaign County, Illinois","2,161",±425,975,±322,45.1%,±10.8
3.01,17019000301,000301,Census Tract 3.01,Census Tract 3.01,Census Tract 3.01,"Census Tract 3.01, Champaign County, Illinois","5,191","±1,113","4,500","±1,071",86.7%,±5.9
3.02,17019000302,000302,Census Tract 3.02,Census Tract 3.02,Census Tract 3.02,"Census Tract 3.02, Champaign County, Illinois","2,553",±461,"1,542",±402,60.4%,±9.2
4.01,17019000401,000401,Census Tract 4.01,Census Tract 4.01,Census Tract 4.01,"Census Tract 4.01, Champaign County, Illinois","1,210",±277,"1,098",±272,90.7%,±5.4
4.02,17019000402,000402,Census Tract 4.02,Census Tract 4.02,Census Tract 4.02,"Census Tract 4.02, Champaign County, Illinois","2,969",±564,"2,607",±575,87.8%,±5.1
5.0,17019000050,000050,Census Tract 5,Census Tract 5,Census Tract 5,"Census Tract 5, Champaign County, Illinois","3,541",±596,610,±208,17.2%,±6.1
7.0,17019000070,000070,Census Tract 7,Census Tract 7,Census Tract 7,"Census Tract 7, Champaign County, Illinois","3,651",±557,904,±378,24.8%,±9.6
8.0,17019000080,000080,Census Tract 8,Census Tract 8,Census Tract 8,"Census Tract 8, Champaign County, Illinois","6,497",±773,810,±413,12.5%,±6.2
9.01,17019000901,000901,Census Tract 9.01,Census Tract 9.01,Census Tract 9.01,"Census Tract 9.01, Champaign County, Illinois","4,783",±588,653,±283,13.7%,±5.9
9.02,17019000902,000902,Census Tract 9.02,Census Tract 9.02,Census Tract 9.02,"Census Tract 9.02, Champaign County, Illinois","7,609",±936,594,±298,7.8%,±4.1
10.0,17019000100,000100,Census Tract 10,Census Tract 10,Census Tract 10,"Census Tract 10, Champaign County, Illinois","4,190",±662,915,±531,21.8%,±12.3
11.0,17019000110,000110,Census Tract 11,Census Tract 11,Census Tract 11,"Census Tract 11, Champaign County, Illinois","3,926",±521,218,±109,5.6%,±2.8
12.01,17019001201,001201,Census Tract 12.01,Census Tract 12.01,Census Tract 12.01,"Census Tract 12.01, Champaign County, Illinois","6,963",±916,"1,712",±715,24.6%,±9.5
